Software Version:	2.0.6470.17062
Unit SN:	AIO-M72-0210
Spectrometer SN:	5335
Date:	1/8/2018 11:54:58 AM
Data Line Index:	25
Spectral Points:	1941
Integration time (ms):	10000
Averages:	20
Delay (ms):	0
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	300
Laser Current (mA):	753
Laser Diode Temp (C):	25
Laser Case Temp (C):	22.7
System Temp (C):	23.6
Spectrometer Temp (C):	20.7
CCD Temp (C):	-0.003
Secondary Temp (C):	20.006
Heatsink Temp (C):	18.895
CCDPCB Temp (C):	37.663
SecondaryPCB Temp (C):	25.024

Wavelength	RamanShift	Raw Counts	Dark Subtracted
832.4436	719.8855	17352.55	15612.25
832.5887	721.9789	17324.25	15594.05
832.7338	724.0715	17383.3	15573.7
832.8789	726.1635	17338.3	15563.05
833.024	728.2548	17458.6	15661
833.1691	730.3454	17579.75	15714.7
833.3142	732.4354	17878.1	15844.45
833.4593	734.5246	17877.15	16036.05
833.6044	736.6132	18116.45	16314.05
833.7495	738.7011	18424.95	16648.8
833.8946	740.7884	18940.35	17209.2
834.0398	742.8749	19720	18021.9
834.1849	744.9608	20763.95	19064.2
834.33	747.046	21923.35	20197.7
834.4751	749.1305	22836.9	21035.9
834.6203	751.2143	23015.95	21142.95
834.7654	753.2974	22087.25	20314.3
834.9105	755.3799	20870.05	19093.7
835.0557	757.4617	19652.8	17922.45
835.2008	759.5428	18789.15	17017.4
835.346	761.6232	18076.85	16320.2
835.4911	763.7029	17642.95	15834.95
835.6363	765.782	17252.5	15456.8
835.7814	767.8603	16901.65	15158.2
835.9266	769.938	16716.05	14948.55
836.0717	772.015	16643	14783.65
836.2169	774.0913	16434.95	14626.9
836.3621	776.1669	16309.15	14550.85
836.5072	778.2419	16231.7	14449.25
836.6524	780.3161	16112.4	14385.85
836.7976	782.3897	16066.35	14321.35
836.9428	784.4625	16021.1	14310.3
837.0879	786.5347	15997.65	14264.6
837.2331	788.6062	16150.25	14238.35
837.3783	790.6771	15926.5	14135.8
837.5235	792.7472	15915.75	14088.4
837.6687	794.8166	16019.4	14038.95
837.8138	796.8854	15718.25	13900
837.959	798.9534	15589.4	13807.8
838.1042	801.0208	15485.6	13702
838.2494	803.0875	15448.05	13680.95
838.3946	805.1535	15348.6	13601.45
